ID,Date,Email,Name,Team,Revenue_USD
1.0,2024-01-01,1@maggietest.com,Jaime Uehara,Orange,59769.5508
1.0,2024-01-08,1@maggietest.com,Jaime Uehara,Orange,8273.2752
1.0,2024-01-11,1@maggietest.com,Jaime Uehara,Orange,56033.17304
1.0,2024-02-04,1@maggietest.com,Jaime Uehara,Orange,725350.81984
2.0,2024-01-09,2@maggietest.com,Jocelyn Delahunty,Apple,21986697.0530592
2.0,2024-01-12,2@maggietest.com,Jocelyn Delahunty,Apple,3842210.7865600004
2.0,2024-02-01,2@maggietest.com,Jocelyn Delahunty,Apple,9617013.1904
2.0,2024-02-05,2@maggietest.com,Jocelyn Delahunty,Apple,109712810.54032
3.0,2024-01-10,3@maggietest.com,Tomoaki Chatterjea,Pineapple,11250163.637145601
3.0,2024-02-02,3@maggietest.com,Tomoaki Chatterjea,Pineapple,3011753.3926399997
3.0,2024-02-06,3@maggietest.com,Tomoaki Chatterjea,Pineapple,17865078.42672
3.0,2024-03-01,3@maggietest.com,Tomoaki Chatterjea,Pineapple,32386318.263935998
4.0,2024-01-08,4@maggietest.com,Shinya Topouzian,Grape,7213955.401040001
4.0,2024-01-11,4@maggietest.com,Shinya Topouzian,Grape,4581095.900160001
4.0,2024-02-03,4@maggietest.com,Shinya Topouzian,Grape,109380412.0512
4.0,2024-03-02,4@maggietest.com,Shinya Topouzian,Grape,64052795.269559994
5.0,2024-01-09,5@maggietest.com,Paige Jordao,Cherry,40301.478756000004
5.0,2024-01-12,5@maggietest.com,Paige Jordao,Cherry,70640.85744
5.0,2024-02-04,5@maggietest.com,Paige Jordao,Cherry,624964.2073216
5.0,2024-03-03,5@maggietest.com,Paige Jordao,Cherry,82287.39024000001
6.0,2024-01-10,6@maggietest.com,Stephen Doi,Strawberry,1170457.0436
6.0,2024-02-05,6@maggietest.com,Stephen Doi,Strawberry,22426101.14808
6.0,2024-03-01,6@maggietest.com,Stephen Doi,Strawberry,8046801.95584
6.0,2024-03-04,6@maggietest.com,Stephen Doi,Strawberry,0.0
7.0,2024-01-11,7@maggietest.com,Carly Muller,Blueberry,132823.16096
7.0,2024-02-06,7@maggietest.com,Carly Muller,Blueberry,86955.09536
7.0,2024-03-02,7@maggietest.com,Carly Muller,Blueberry,39655.936720000005
7.0,2024-03-05,7@maggietest.com,Carly Muller,Blueberry,0.0
8.0,2024-01-08,8@maggietest.com,Joseph Blattermann,Orange,1695460.85256
8.0,2024-01-12,8@maggietest.com,Joseph Blattermann,Orange,2674217.2734512
8.0,2024-01-18,8@maggietest.com,Joseph Blattermann,Orange,0.0
8.0,2024-03-03,8@maggietest.com,Joseph Blattermann,Orange,186154455.97735998
9.0,2024-01-09,9@maggietest.com,Sylvest Wahabi,Apple,2106240.7838399997
9.0,2024-01-19,9@maggietest.com,Sylvest Wahabi,Apple,49593688.16184
9.0,2024-03-01,9@maggietest.com,Sylvest Wahabi,Apple,2878427.5360000003
9.0,2024-03-04,9@maggietest.com,Sylvest Wahabi,Apple,128226385.13168
10.0,2024-01-10,10@maggietest.com,Michael Dubots,Pineapple,14659.72288
10.0,2024-01-20,10@maggietest.com,Michael Dubots,Pineapple,435278.3427
10.0,2024-03-02,10@maggietest.com,Michael Dubots,Pineapple,309891.688568
10.0,2024-03-05,10@maggietest.com,Michael Dubots,Pineapple,527169.4932
11.0,2024-01-11,11@maggietest.com,Eimear Albert,Grape,11071.2907552
11.0,2024-01-18,11@maggietest.com,Eimear Albert,Grape,2009675.2624000001
11.0,2024-01-21,11@maggietest.com,Eimear Albert,Grape,119262.51
11.0,2024-03-03,11@maggietest.com,Eimear Albert,Grape,254507.187384
12.0,2024-01-12,12@maggietest.com,Chie Lemonier,Cherry,4514.029680000001
12.0,2024-01-19,12@maggietest.com,Chie Lemonier,Cherry,2537693.94112
12.0,2024-03-04,12@maggietest.com,Chie Lemonier,Cherry,62716.74048
12.0,2024-05-01,12@maggietest.com,Chie Lemonier,Cherry,25576.458124800003
13.0,2024-01-20,13@maggietest.com,Kimberley Yamakoshi,Strawberry,635925.384
13.0,2024-03-01,13@maggietest.com,Kimberley Yamakoshi,Strawberry,68725.86576
13.0,2024-03-05,13@maggietest.com,Kimberley Yamakoshi,Strawberry,58601.928
13.0,2024-06-01,13@maggietest.com,Kimberley Yamakoshi,Strawberry,24757.54008
14.0,2024-01-18,14@maggietest.com,Kodai Isdepski,Blueberry,62917.26688
14.0,2024-01-21,14@maggietest.com,Kodai Isdepski,Blueberry,59659.146
14.0,2024-03-02,14@maggietest.com,Kodai Isdepski,Blueberry,63054.182799999995
14.0,2024-09-01,14@maggietest.com,Kodai Isdepski,Blueberry,9946.07136
15.0,2024-01-19,15@maggietest.com,Robert Sisaveng,Orange,18156.602880000002
15.0,2024-03-03,15@maggietest.com,Robert Sisaveng,Orange,16775.36784
15.0,2024-05-01,15@maggietest.com,Robert Sisaveng,Orange,19120.022208
15.0,2024-09-02,15@maggietest.com,Robert Sisaveng,Orange,17036.240255999997
16.0,2024-01-20,16@maggietest.com,Shohei Matsumoto,Apple,19314.504
16.0,2024-03-04,16@maggietest.com,Shohei Matsumoto,Apple,132082.1856
16.0,2024-06-01,16@maggietest.com,Shohei Matsumoto,Apple,7329.8315999999995
16.0,2024-09-03,16@maggietest.com,Shohei Matsumoto,Apple,18116.04784
17.0,2024-01-21,17@maggietest.com,Christopher Alonso,Pineapple,15767.73
17.0,2024-03-05,17@maggietest.com,Christopher Alonso,Pineapple,148098.16
17.0,2024-09-01,17@maggietest.com,Christopher Alonso,Pineapple,196430.46336
17.0,2024-09-04,17@maggietest.com,Christopher Alonso,Pineapple,5803.6488
18.0,2024-01-18,18@maggietest.com,Stefania Riches,Grape,39511.551040000006
18.0,2024-05-01,18@maggietest.com,Stefania Riches,Grape,5767.2480000000005
18.0,2024-09-02,18@maggietest.com,Stefania Riches,Grape,192169.47769919998
18.0,2024-09-05,18@maggietest.com,Stefania Riches,Grape,19053.41288
19.0,2024-01-19,19@maggietest.com,Valon Edwards,Cherry,13328396.15832
19.0,2024-06-01,19@maggietest.com,Valon Edwards,Cherry,10444380.191599999
19.0,2024-09-03,19@maggietest.com,Valon Edwards,Cherry,8604161.11368
