UserID,Date,Revenue,Quota,ID,Email,Name,Rep_Or_Director,Status,Region,Team_Currency,Team,Country,Currency,DATE,FROM_CURRENCY,EXCHANGE_RATE,Revenue_USD
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
31,2024-11-01,840283.03,851516,31.0,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia,AUD,2024-11-01,AUD,0.65707,552124.7705221
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
34,2024-11-01,423005.0,1358283,34.0,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany,EUR,2024-11-01,EUR,1.08645,459573.78225
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
37,2024-11-01,302785197.0,336522852,37.0,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany,EUR,2024-11-01,EUR,1.08645,328960977.28064996
96,2024-11-01,2914535.69,2229870,96.0,96@maggietest.com,Atsushi Lavigne,Rep,Active,Asia-Pac,JPY,Cherry,Japan,JPY,2024-11-01,JPY,0.00656,19119.354126399998
71,2024-11-01,610064.0,616065,71.0,71@maggietest.com,Declan Kumagawa,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,4002.01984
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
93,2024-11-01,580084.0,560031,93.0,93@maggietest.com,Anna Siani,Rep,Active,Asia-Pac,JPY,Apple,Japan,JPY,2024-11-01,JPY,0.00656,3805.35104
30,2024-11-01,801143.0,762144,30.0,30@maggietest.com,Patrick Mitra,Rep,Active,EMEA,EUR,Apple,Netherlands,EUR,2024-11-01,EUR,1.08645,870401.8123499999
30,2024-11-01,801143.0,762144,30.0,30@maggietest.com,Patrick Mitra,Rep,Active,EMEA,EUR,Apple,Netherlands,EUR,2024-11-01,EUR,1.08645,870401.8123499999
33,2024-11-01,1278118.73,1302665,33.0,33@maggietest.com,Stephen Reichert,Rep,Active,EMEA,EUR,Cherry,Belgium,EUR,2024-11-01,EUR,1.08645,1388612.0942084999
33,2024-11-01,1278118.73,1302665,33.0,33@maggietest.com,Stephen Reichert,Rep,Active,EMEA,EUR,Cherry,Belgium,EUR,2024-11-01,EUR,1.08645,1388612.0942084999
95,2024-11-01,1949303.0,2946497,95.0,95@maggietest.com,Aoife Uchida,Rep,Active,Asia-Pac,JPY,Grape,Japan,JPY,2024-11-01,JPY,0.00656,12787.427679999999
95,2024-11-01,1949303.0,2946497,95.0,95@maggietest.com,Aoife Uchida,Rep,Active,Asia-Pac,JPY,Grape,Japan,JPY,2024-11-01,JPY,0.00656,12787.427679999999
70,2024-11-01,614742.0,603714,70.0,70@maggietest.com,Szymon Marin,Rep,Active,Asia-Pac,JPY,Blueberry,Japan,JPY,2024-11-01,JPY,0.00656,4032.70752
36,2024-11-01,193164.0,513208,36.0,36@maggietest.com,Will De,Rep,On Leave,EMEA,EUR,Orange,Germany,EUR,2024-11-01,EUR,1.08645,209863.02779999998
36,2024-11-01,193164.0,513208,36.0,36@maggietest.com,Will De,Rep,On Leave,EMEA,EUR,Orange,Germany,EUR,2024-11-01,EUR,1.08645,209863.02779999998
36,2024-11-01,193164.0,513208,36.0,36@maggietest.com,Will De,Rep,On Leave,EMEA,EUR,Orange,Germany,EUR,2024-11-01,EUR,1.08645,209863.02779999998
92,2024-11-01,254487.0,890897,92.0,92@maggietest.com,Kaoru Bailey,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,1669.43472
92,2024-11-01,254487.0,890897,92.0,92@maggietest.com,Kaoru Bailey,Rep,Active,Asia-Pac,JPY,Orange,Japan,JPY,2024-11-01,JPY,0.00656,1669.43472
70,2024-11-01,614742.0,603714,70.0,70@maggietest.com,Szymon Marin,Rep,Active,Asia-Pac,JPY,Blueberry,Japan,JPY,2024-11-01,JPY,0.00656,4032.70752
95,2024-11-01,1949303.0,2946497,95.0,95@maggietest.com,Aoife Uchida,Rep,Active,Asia-Pac,JPY,Grape,Japan,JPY,2024-11-01,JPY,0.00656,12787.427679999999
95,2024-11-01,1949303.0,2946497,95.0,95@maggietest.com,Aoife Uchida,Rep,Active,Asia-Pac,JPY,Grape,Japan,JPY,2024-11-01,JPY,0.00656,12787.427679999999
30,2024-11-01,801143.0,762144,30.0,30@maggietest.com,Patrick Mitra,Rep,Active,EMEA,EUR,Apple,Netherlands,EUR,2024-11-01,EUR,1.08645,870401.8123499999
36,2024-11-01,193164.0,513208,36.0,36@maggietest.com,Will De,Rep,On Leave,EMEA,EUR,Orange,Germany,EUR,2024-11-01,EUR,1.08645,209863.02779999998
70,2024-11-01,614742.0,603714,70.0,70@maggietest.com,Szymon Marin,Rep,Active,Asia-Pac,JPY,Blueberry,Japan,JPY,2024-11-01,JPY,0.00656,4032.70752
33,2024-11-01,1278118.73,1302665,33.0,33@maggietest.com,Stephen Reichert,Rep,Active,EMEA,EUR,Cherry,Belgium,EUR,2024-11-01,EUR,1.08645,1388612.0942084999
