ID,Email,Name,Rep_Or_Director,Status,Region,Team_Currency,Team,Country
1,1@maggietest.com,Jaime Uehara,Director,Active,The Americas,JPY,Orange,Japan
2,2@maggietest.com,Jocelyn Delahunty,Director,Active,The Americas,EUR,Apple,Netherlands
3,3@maggietest.com,Tomoaki Chatterjea,Director,Active,The Americas,AUD,Pineapple,Australia
4,4@maggietest.com,Shinya Topouzian,Director,Active,The Americas,GBP,Grape,UK
5,5@maggietest.com,Paige Jordao,Rep,Active,Asia-Pac,JPY,Cherry,Japan
6,6@maggietest.com,Stephen Doi,Rep,Active,Asia-Pac,CAD,Strawberry,Canada
7,7@maggietest.com,Carly Muller,Rep,Active,Asia-Pac,INR,Blueberry,India
8,8@maggietest.com,Joseph Blattermann,Rep,Active,Asia-Pac,BRL,Orange,Brazil
9,9@maggietest.com,Sylvest Wahabi,Rep,Active,Asia-Pac,SGD,Apple,Singapore
10,10@maggietest.com,Michael Dubots,Rep,Active,Asia-Pac,JPY,Pineapple,Japan
11,11@maggietest.com,Eimear Albert,Rep,Active,Asia-Pac,JPY,Grape,Japan
12,12@maggietest.com,Chie Lemonier,Rep,Active,Asia-Pac,JPY,Cherry,Japan
13,13@maggietest.com,Kimberley Yamakoshi,Rep,Active,Asia-Pac,JPY,Strawberry,Japan
14,14@maggietest.com,Kodai Isdepski,Rep,Active,Asia-Pac,JPY,Blueberry,Japan
15,15@maggietest.com,Robert Sisaveng,Rep,Active,Asia-Pac,JPY,Orange,Japan
16,16@maggietest.com,Shohei Matsumoto,Rep,Active,Asia-Pac,JPY,Apple,Japan
17,17@maggietest.com,Christopher Alonso,Rep,Active,Asia-Pac,JPY,Pineapple,Japan
18,18@maggietest.com,Stefania Riches,Rep,Active,Asia-Pac,JPY,Grape,Japan
19,19@maggietest.com,Valon Edwards,Director,Active,EMEA,EUR,Cherry,Germany
20,20@maggietest.com,Jose Frippiat,Director,Active,EMEA,EUR,Strawberry,Germany
21,21@maggietest.com,David Marascia,Rep,Active,Asia-Pac,JPY,Blueberry,Japan
22,22@maggietest.com,Martine Hirano,Rep,Active,Asia-Pac,JPY,Orange,Japan
23,23@maggietest.com,Marco Ossama,Rep,Active,Asia-Pac,JPY,Apple,Japan
24,24@maggietest.com,Jackie Mota-Negrao,Rep,Active,Asia-Pac,JPY,Pineapple,Japan
25,25@maggietest.com,Gunjan Deroek,Rep,Active,Asia-Pac,JPY,Grape,Japan
26,26@maggietest.com,Guillaume Healy,Rep,Active,Asia-Pac,JPY,Cherry,Japan
27,27@maggietest.com,Patrick Matsubara,Rep,On Leave,EMEA,EUR,Strawberry,Netherlands
28,28@maggietest.com,Mikio Willard,Rep,Active,EMEA,EUR,Blueberry,Netherlands
29,29@maggietest.com,Graham Feres,Rep,Active,EMEA,EUR,Orange,Netherlands
30,30@maggietest.com,Patrick Mitra,Rep,Active,EMEA,EUR,Apple,Netherlands
31,31@maggietest.com,Abdo Merlivat,Rep,Active,Asia-Pac,AUD,Pineapple,Australia
32,32@maggietest.com,Melanie Abolhassani,Rep,On Leave,EMEA,EUR,Grape,Belgium
33,33@maggietest.com,Stephen Reichert,Rep,Active,EMEA,EUR,Cherry,Belgium
34,34@maggietest.com,Montasir Fernandez,Rep,Active,EMEA,EUR,Strawberry,Germany
35,35@maggietest.com,Brandon Blanchette,Rep,Active,EMEA,EUR,Blueberry,Germany
36,36@maggietest.com,Will De,Rep,On Leave,EMEA,EUR,Orange,Germany
37,37@maggietest.com,Conor Niphakis,Rep,Active,EMEA,EUR,Apple,Germany
38,38@maggietest.com,David Schaeffer,Rep,Active,EMEA,EUR,Pineapple,Germany
39,39@maggietest.com,Yuma O'Leary,Rep,Active,EMEA,EUR,Grape,Germany
40,40@maggietest.com,Tyler Mishra,Rep,Active,EMEA,EUR,Cherry,Germany
41,41@maggietest.com,Omar Arasuna,Rep,Active,EMEA,EUR,Strawberry,Germany
42,42@maggietest.com,Tatsuya Krasniqi,Rep,Active,EMEA,EUR,Blueberry,Germany
43,43@maggietest.com,Rikuo Kuribayashi,Rep,Active,EMEA,EUR,Orange,Germany
44,44@maggietest.com,Stefano Sarpong,Rep,Active,EMEA,EUR,Apple,Germany
45,45@maggietest.com,Ashley Barrett,Rep,Active,EMEA,EUR,Pineapple,Germany
46,46@maggietest.com,Tiara Kaggwa,Rep,Active,EMEA,EUR,Grape,Germany
47,47@maggietest.com,Elizabeth Wattiez,Rep,Active,EMEA,EUR,Cherry,Spain
48,48@maggietest.com,Rebecca Lubojanski,Rep,Active,EMEA,EUR,Strawberry,Spain
49,49@maggietest.com,Nathan Johanson,Rep,Active,EMEA,EUR,Blueberry,France
50,50@maggietest.com,Gerben Kasai,Rep,Active,EMEA,EUR,Orange,France
51,51@maggietest.com,Michelle Leblanc,Rep,Active,EMEA,EUR,Apple,France
52,52@maggietest.com,Rebeca Kojima,Rep,Active,EMEA,EUR,Pineapple,France
53,53@maggietest.com,Raoul Alfred,Rep,Active,EMEA,EUR,Grape,France
54,54@maggietest.com,Tom Peciak,Rep,Active,EMEA,EUR,Cherry,France
55,55@maggietest.com,Shuhei van,Rep,Active,EMEA,EUR,Strawberry,France
56,56@maggietest.com,Shantel McHarg,Rep,Active,EMEA,EUR,Blueberry,France
57,57@maggietest.com,Yuka Lyon,Rep,Active,EMEA,EUR,Orange,France
58,58@maggietest.com,Megan Dohi,Rep,Active,EMEA,EUR,Apple,France
59,59@maggietest.com,Karl Mekler,Rep,Active,EMEA,EUR,Pineapple,France
60,60@maggietest.com,Amelia Callegari,Rep,Active,EMEA,EUR,Grape,Italy
